show_id,type,title,director,country,date_added,release_year,rating,duration(min),listed_in
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2021-09-25,2020,PG-13,90,Documentaries
s10,Movie,The Starling,Theodore Melfi,United States,2021-09-24,2021,PG-13,104,Comedies
s10,Movie,The Starling,Theodore Melfi,United States,2021-09-24,2021,PG-13,104,Dramas
s13,Movie,Je Suis Karl,Christian Schwochow,Germany,2021-09-23,2021,TV-MA,127,Dramas
s13,Movie,Je Suis Karl,Christian Schwochow,Germany,2021-09-23,2021,TV-MA,127,International Movies
s13,Movie,Je Suis Karl,Christian Schwochow,Czech Republic,2021-09-23,2021,TV-MA,127,Dramas
s13,Movie,Je Suis Karl,Christian Schwochow,Czech Republic,2021-09-23,2021,TV-MA,127,International Movies
s29,Movie,Dark Skies,Scott Stewart,United States,2021-09-19,2013,PG-13,97,Horror Movies
s29,Movie,Dark Skies,Scott Stewart,United States,2021-09-19,2013,PG-13,97,Sci-Fi & Fantasy
s30,Movie,Paranoia,Robert Luketic,United States,2021-09-19,2013,PG-13,106,Thrillers
s30,Movie,Paranoia,Robert Luketic,India,2021-09-19,2013,PG-13,106,Thrillers
s30,Movie,Paranoia,Robert Luketic,France,2021-09-19,2013,PG-13,106,Thrillers
s39,Movie,Birth of the Dragon,George Nolfi,China,2021-09-16,2017,PG-13,96,Action & Adventure
s39,Movie,Birth of the Dragon,George Nolfi,China,2021-09-16,2017,PG-13,96,Dramas
s39,Movie,Birth of the Dragon,George Nolfi,Canada,2021-09-16,2017,PG-13,96,Action & Adventure
s39,Movie,Birth of the Dragon,George Nolfi,Canada,2021-09-16,2017,PG-13,96,Dramas
s39,Movie,Birth of the Dragon,George Nolfi,United States,2021-09-16,2017,PG-13,96,Action & Adventure
s39,Movie,Birth of the Dragon,George Nolfi,United States,2021-09-16,2017,PG-13,96,Dramas
s47,Movie,Safe House,Daniel Espinosa,South Africa,2021-09-16,2012,R,115,Action & Adventure
s47,Movie,Safe House,Daniel Espinosa,United States,2021-09-16,2012,R,115,Action & Adventure
s47,Movie,Safe House,Daniel Espinosa,Japan,2021-09-16,2012,R,115,Action & Adventure
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,2021-09-15,2011,TV-14,102,Action & Adventure
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,2021-09-15,2011,TV-14,102,Anime Features
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,2021-09-15,2011,TV-14,102,International Movies
s82,Movie,Kate,Cedric Nicolas-Troyan,United States,2021-09-10,2021,R,106,Action & Adventure
s85,Movie,Omo Ghetto: the Saga,JJC Skillz,Nigeria,2021-09-10,2020,TV-MA,147,Action & Adventure
s85,Movie,Omo Ghetto: the Saga,JJC Skillz,Nigeria,2021-09-10,2020,TV-MA,147,Comedies
s85,Movie,Omo Ghetto: the Saga,JJC Skillz,Nigeria,2021-09-10,2020,TV-MA,147,Dramas
s85,Movie,Omo Ghetto: the Saga,Funke Akindele,Nigeria,2021-09-10,2020,TV-MA,147,Action & Adventure
s85,Movie,Omo Ghetto: the Saga,Funke Akindele,Nigeria,2021-09-10,2020,TV-MA,147,Comedies
s85,Movie,Omo Ghetto: the Saga,Funke Akindele,Nigeria,2021-09-10,2020,TV-MA,147,Dramas
s91,Movie,Paradise Hills,Alice Waddington,Spain,2021-09-09,2019,TV-MA,95,Sci-Fi & Fantasy
s91,Movie,Paradise Hills,Alice Waddington,Spain,2021-09-09,2019,TV-MA,95,Thrillers
s91,Movie,Paradise Hills,Alice Waddington,United States,2021-09-09,2019,TV-MA,95,Sci-Fi & Fantasy
s91,Movie,Paradise Hills,Alice Waddington,United States,2021-09-09,2019,TV-MA,95,Thrillers
s92,Movie,The Women and the Murderer,Mona Achache,France,2021-09-09,2021,TV-14,92,Documentaries
s92,Movie,The Women and the Murderer,Mona Achache,France,2021-09-09,2021,TV-14,92,International Movies
s92,Movie,The Women and the Murderer,Patricia Tourancheau,France,2021-09-09,2021,TV-14,92,Documentaries
s92,Movie,The Women and the Murderer,Patricia Tourancheau,France,2021-09-09,2021,TV-14,92,International Movies
s95,Movie,Show Dogs,Raja Gosnell,United Kingdom,2021-09-08,2018,PG,90,Children & Family Movies
s95,Movie,Show Dogs,Raja Gosnell,United Kingdom,2021-09-08,2018,PG,90,Comedies
s95,Movie,Show Dogs,Raja Gosnell,United States,2021-09-08,2018,PG,90,Children & Family Movies
s95,Movie,Show Dogs,Raja Gosnell,United States,2021-09-08,2018,PG,90,Comedies
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,2021-09-07,2018,TV-MA,97,Documentaries
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,2021-09-07,2018,TV-MA,97,Music & Musicals
s102,Movie,Untold: Breaking Point,Chapman Way,United States,2021-09-07,2021,TV-MA,80,Documentaries
s102,Movie,Untold: Breaking Point,Chapman Way,United States,2021-09-07,2021,TV-MA,80,Sports Movies
s102,Movie,Untold: Breaking Point,Maclain Way,United States,2021-09-07,2021,TV-MA,80,Documentaries
s102,Movie,Untold: Breaking Point,Maclain Way,United States,2021-09-07,2021,TV-MA,80,Sports Movies
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,2021-09-05,2017,TV-14,128,Action & Adventure
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,2021-09-05,2017,TV-14,128,Comedies
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,2021-09-05,2017,TV-14,128,Dramas
s108,Movie,A Champion Heart,David de Vos,United States,2021-09-04,2018,G,90,Children & Family Movies
s108,Movie,A Champion Heart,David de Vos,United States,2021-09-04,2018,G,90,Dramas
s117,Movie,Dhanak,Nagesh Kukunoor,India,2021-09-02,2015,TV-PG,114,Comedies
s117,Movie,Dhanak,Nagesh Kukunoor,India,2021-09-02,2015,TV-PG,114,Dramas
s117,Movie,Dhanak,Nagesh Kukunoor,India,2021-09-02,2015,TV-PG,114,Independent Movies
s118,Movie,Final Account,Luke Holland,United Kingdom,2021-09-02,2021,PG-13,94,Documentaries
s118,Movie,Final Account,Luke Holland,United States,2021-09-02,2021,PG-13,94,Documentaries
s119,Movie,Gurgaon,Shanker Raman,India,2021-09-02,2017,TV-14,106,Dramas
s119,Movie,Gurgaon,Shanker Raman,India,2021-09-02,2017,TV-14,106,International Movies
s119,Movie,Gurgaon,Shanker Raman,India,2021-09-02,2017,TV-14,106,Thrillers
s127,Movie,Shikara,Vidhu Vinod Chopra,India,2021-09-02,2020,TV-14,115,Dramas
s127,Movie,Shikara,Vidhu Vinod Chopra,India,2021-09-02,2020,TV-14,115,International Movies
s127,Movie,Shikara,Vidhu Vinod Chopra,India,2021-09-02,2020,TV-14,115,Romantic Movies
s134,Movie,Chappie,Neill Blomkamp,South Africa,2021-09-01,2015,R,121,Action & Adventure
s134,Movie,Chappie,Neill Blomkamp,South Africa,2021-09-01,2015,R,121,Sci-Fi & Fantasy
s134,Movie,Chappie,Neill Blomkamp,United States,2021-09-01,2015,R,121,Action & Adventure
s134,Movie,Chappie,Neill Blomkamp,United States,2021-09-01,2015,R,121,Sci-Fi & Fantasy
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,Argentina,2021-09-01,2014,TV-MA,100,Dramas
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,Argentina,2021-09-01,2014,TV-MA,100,International Movies
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,Argentina,2021-09-01,2014,TV-MA,100,Thrillers
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,Venezuela,2021-09-01,2014,TV-MA,100,Dramas
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,Venezuela,2021-09-01,2014,TV-MA,100,International Movies
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,Venezuela,2021-09-01,2014,TV-MA,100,Thrillers
s142,Movie,Extraction,Steven C. Miller,United States,2021-09-01,2015,R,82,Action & Adventure
s142,Movie,Extraction,Steven C. Miller,United Kingdom,2021-09-01,2015,R,82,Action & Adventure
s142,Movie,Extraction,Steven C. Miller,Canada,2021-09-01,2015,R,82,Action & Adventure
s144,Movie,Green Lantern,Martin Campbell,United States,2021-09-01,2011,PG-13,114,Action & Adventure
s144,Movie,Green Lantern,Martin Campbell,United States,2021-09-01,2011,PG-13,114,Sci-Fi & Fantasy
s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,United States,2021-09-01,2016,TV-MA,88,Comedies
s158,Movie,Level 16,Danishka Esterhazy,Canada,2021-09-01,2018,TV-14,102,Sci-Fi & Fantasy
s158,Movie,Level 16,Danishka Esterhazy,Canada,2021-09-01,2018,TV-14,102,Thrillers
s163,Movie,Marshall,Reginald Hudlin,United States,2021-09-01,2017,PG-13,118,Dramas
s163,Movie,Marshall,Reginald Hudlin,China,2021-09-01,2017,PG-13,118,Dramas
s163,Movie,Marshall,Reginald Hudlin,Hong Kong,2021-09-01,2017,PG-13,118,Dramas
s172,Movie,Same Kind of Different as Me,Michael Carney,United States,2021-09-01,2017,PG-13,120,Dramas
s172,Movie,Same Kind of Different as Me,Michael Carney,United States,2021-09-01,2017,PG-13,120,Faith & Spirituality
s174,Movie,Snervous Tyler Oakley,Amy Rice,United States,2021-09-01,2015,PG-13,83,Documentaries
s174,Movie,Snervous Tyler Oakley,Amy Rice,United States,2021-09-01,2015,PG-13,83,LGBTQ Movies
s179,Movie,The Interview,Evan Goldberg,United States,2021-09-01,2014,R,112,Action & Adventure
s179,Movie,The Interview,Evan Goldberg,United States,2021-09-01,2014,R,112,Comedies
s179,Movie,The Interview,Seth Rogen,United States,2021-09-01,2014,R,112,Action & Adventure
s179,Movie,The Interview,Seth Rogen,United States,2021-09-01,2014,R,112,Comedies
s191,Movie,Thimmarusu,Sharan Koppisetty,India,2021-08-28,2021,TV-14,125,Dramas
s191,Movie,Thimmarusu,Sharan Koppisetty,India,2021-08-28,2021,TV-14,125,International Movies
s192,Movie,Wind River,Taylor Sheridan,United Kingdom,2021-08-28,2017,R,107,Dramas
s192,Movie,Wind River,Taylor Sheridan,United Kingdom,2021-08-28,2017,R,107,Independent Movies
s192,Movie,Wind River,Taylor Sheridan,Canada,2021-08-28,2017,R,107,Dramas
s192,Movie,Wind River,Taylor Sheridan,Canada,2021-08-28,2017,R,107,Independent Movies
s192,Movie,Wind River,Taylor Sheridan,United States,2021-08-28,2017,R,107,Dramas
s192,Movie,Wind River,Taylor Sheridan,United States,2021-08-28,2017,R,107,Independent Movies
s204,Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,India,2021-08-27,2016,TV-MA,124,Comedies
s204,Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,India,2021-08-27,2016,TV-MA,124,International Movies
s205,Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,India,2021-08-27,2012,TV-MA,136,Comedies
s205,Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,India,2021-08-27,2012,TV-MA,136,International Movies
s210,Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,India,2021-08-27,2013,TV-14,142,Dramas
s210,Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,India,2021-08-27,2013,TV-14,142,International Movies
s210,Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,India,2021-08-27,2013,TV-14,142,Music & Musicals
s211,Movie,Ragini MMS,Pawan Kripalani,India,2021-08-27,2011,TV-MA,93,Horror Movies
s211,Movie,Ragini MMS,Pawan Kripalani,India,2021-08-27,2011,TV-MA,93,International Movies
s212,Movie,Ragini MMS 2,Bhushan Patel,India,2021-08-27,2014,TV-MA,113,Horror Movies
s212,Movie,Ragini MMS 2,Bhushan Patel,India,2021-08-27,2014,TV-MA,113,International Movies
s217,Movie,Shor In the City,Raj Nidimoru,India,2021-08-27,2011,TV-14,106,Comedies
s217,Movie,Shor In the City,Raj Nidimoru,India,2021-08-27,2011,TV-14,106,Dramas
s217,Movie,Shor In the City,Raj Nidimoru,India,2021-08-27,2011,TV-14,106,Independent Movies
s217,Movie,Shor In the City,Krishna D.K.,India,2021-08-27,2011,TV-14,106,Comedies
s217,Movie,Shor In the City,Krishna D.K.,India,2021-08-27,2011,TV-14,106,Dramas
s217,Movie,Shor In the City,Krishna D.K.,India,2021-08-27,2011,TV-14,106,Independent Movies
s218,Movie,The Dirty Picture,Milan Luthria,India,2021-08-27,2011,TV-14,145,Comedies
s218,Movie,The Dirty Picture,Milan Luthria,India,2021-08-27,2011,TV-14,145,Dramas
s218,Movie,The Dirty Picture,Milan Luthria,India,2021-08-27,2011,TV-14,145,International Movies
s228,Movie,Really Love,Angel Kristi Williams,United States,2021-08-25,2020,TV-MA,95,Dramas
s228,Movie,Really Love,Angel Kristi Williams,United States,2021-08-25,2020,TV-MA,95,Independent Movies
s228,Movie,Really Love,Angel Kristi Williams,United States,2021-08-25,2020,TV-MA,95,Romantic Movies
s229,Movie,The November Man,Roger Donaldson,United States,2021-08-25,2014,R,108,Action & Adventure
s229,Movie,The November Man,Roger Donaldson,United Kingdom,2021-08-25,2014,R,108,Action & Adventure
s230,Movie,The Old Ways,Christopher Alender,United States,2021-08-25,2020,TV-MA,90,Horror Movies
s232,Movie,The Water Man,David Oyelowo,United States,2021-08-25,2021,PG,92,Children & Family Movies
s232,Movie,The Water Man,David Oyelowo,United States,2021-08-25,2021,PG,92,Dramas
s234,Movie,Count Me In,Mark Lo,United Kingdom,2021-08-24,2021,TV-MA,82,Documentaries
s234,Movie,Count Me In,Mark Lo,United Kingdom,2021-08-24,2021,TV-MA,82,Music & Musicals
s248,Movie,Sweet Girl,Brian Andrew Mendoza,United States,2021-08-20,2021,R,110,Action & Adventure
s248,Movie,Sweet Girl,Brian Andrew Mendoza,United States,2021-08-20,2021,R,110,Dramas
